Instrument,Last,Mean,Stdev,Z-Score
4Y5Y-5Y5Y-10Y5Y,-9.4,-14.853,5.6299,0.9686
4Y5Y-5Y5Y-15Y5Y,-22.4,0.54,12.4372,-1.8445
4Y5Y-5Y5Y-20Y5Y,70.6,60.768,9.6583,1.018
4Y5Y-5Y5Y-30Y5Y,121.5,128.31,5.0217,-1.3561
4Y5Y-7Y5Y-10Y5Y,3.0,6.313,4.3585,-0.7601
4Y5Y-7Y5Y-15Y5Y,-10.0,21.706,14.2494,-2.2251
4Y5Y-7Y5Y-20Y5Y,83.0,81.934,4.8601,0.2193
4Y5Y-7Y5Y-30Y5Y,133.9,149.476,9.8703,-1.5781
4Y5Y-10Y5Y-15Y5Y,1.4,40.228,17.9858,-2.1588
4Y5Y-10Y5Y-20Y5Y,94.4,100.456,6.6475,-0.911
4Y5Y-10Y5Y-30Y5Y,145.3,167.998,14.7347,-1.5404
4Y5Y-15Y5Y-20Y5Y,120.4,69.67,23.8675,2.1255
4Y5Y-15Y5Y-30Y5Y,171.3,137.212,24.6938,1.3804
4Y5Y-20Y5Y-30Y5Y,-14.7,16.756,23.9114,-1.3155
5Y5Y-7Y5Y-10Y5Y,0.5,1.322,2.9161,-0.2819
5Y5Y-7Y5Y-15Y5Y,-12.5,16.715,13.625,-2.1442
5Y5Y-7Y5Y-20Y5Y,80.5,76.943,5.6305,0.6317
5Y5Y-7Y5Y-30Y5Y,131.4,144.485,7.9573,-1.6444
5Y5Y-10Y5Y-15Y5Y,-1.1,35.237,17.0557,-2.1305
5Y5Y-10Y5Y-20Y5Y,91.9,95.465,6.0897,-0.5854
5Y5Y-10Y5Y-30Y5Y,142.8,163.007,12.9545,-1.5598
5Y5Y-15Y5Y-20Y5Y,117.9,64.679,24.0078,2.2168
5Y5Y-15Y5Y-30Y5Y,168.8,132.221,23.9649,1.5264
